id_tweet,score_mots_pos_neg,score_emojis_pos_neg,nb_exclamations_intensifieurs,nb_negations,nb_moycaracteres,nb_mots,target
1,-1,0,1,0,3.0,7,0
2,-1,0,0,0,4.0,6,0
3,0,0,0,0,3.142857142857143,7,1
4,-1,0,0,0,3.5416666666666665,25,0
5,-1,0,2,0,3.0,9,0
6,-1,0,1,0,3.1666666666666665,6,0
7,0,0,2,0,6.5,2,1
8,1,0,0,0,5.166666666666667,7,0
9,-1,0,0,0,4.111111111111111,10,1
10,1,0,0,0,3.4285714285714284,8,1
11,1,0,0,0,4.6,5,0
12,-1,0,1,0,3.5833333333333335,12,1
13,-1,0,1,0,4.166666666666667,6,0
14,0,0,1,0,4.428571428571429,7,0
15,1,0,0,0,3.0,5,0
16,1,0,0,0,3.0,9,0
17,-2,0,1,0,4.0,14,0
18,1,0,0,0,5.0,13,1
19,-1,0,2,0,4.714285714285714,7,0
20,2,0,0,0,3.68,25,0
21,-1,0,1,0,4.0,4,0
22,0,0,0,0,5.0,2,0
23,2,0,0,1,4.086956521739131,23,1
24,-1,0,0,0,3.9615384615384617,26,0
25,0,0,6,0,4.095238095238095,25,0
26,-2,0,0,0,4.375,10,0
27,-1,0,1,0,3.8095238095238093,21,0
28,1,0,1,0,3.875,24,0
29,0,0,0,0,6.2,5,1
30,-1,0,1,0,3.9285714285714284,14,0
31,-1,0,0,0,3.9285714285714284,14,0
32,-1,0,2,1,3.9583333333333335,24,0
33,0,0,0,0,4.0,4,0
34,0,0,0,0,4.714285714285714,7,0
35,1,0,0,1,3.3333333333333335,9,0
36,0,0,2,0,3.68,25,0
37,0,0,2,0,4.555555555555555,9,0
38,1,0,0,0,3.8,5,0
39,0,0,0,0,7.25,4,1
40,-1,0,0,0,4.0588235294117645,19,0
41,0,0,0,0,7.25,4,0
42,0,0,3,0,3.6666666666666665,21,1
43,1,0,0,0,5.0,2,0
44,1,0,2,0,3.526315789473684,21,1
45,-1,0,1,0,4.0,6,1
46,0,0,0,0,3.6666666666666665,6,1
47,-1,0,1,0,3.8333333333333335,12,0
48,0,0,0,0,3.6923076923076925,14,0
49,0,0,0,0,5.705882352941177,17,0
50,2,0,0,2,4.777777777777778,11,0
51,0,0,0,0,5.0,3,0
52,2,0,0,0,4.444444444444445,9,1
53,2,0,0,0,3.6666666666666665,3,1
54,1,0,0,0,3.6666666666666665,3,0
55,0,0,0,0,5.25,4,0
56,0,0,0,1,4.65,20,0
57,0,0,0,0,4.444444444444445,9,0
58,2,0,0,0,2.875,8,1
59,1,0,0,0,5.0,6,1
60,0,0,0,0,4.0,5,0
61,-1,0,0,0,3.75,8,0
62,0,0,0,0,3.1666666666666665,7,1
63,0,0,0,0,4.666666666666667,3,1
64,0,0,2,0,3.642857142857143,14,1
65,-2,0,0,0,4.066666666666666,15,1
66,0,0,1,0,3.2222222222222223,10,0
67,-1,0,0,0,3.0,3,0
68,-1,0,0,0,3.5,4,0
69,-1,0,1,0,3.8,15,0
70,0,0,1,0,2.3333333333333335,6,0
71,0,0,0,1,4.857142857142857,7,0
72,1,0,1,0,4.222222222222222,9,0
73,0,0,0,0,3.727272727272727,11,0
74,1,0,0,0,4.0,12,0
75,0,0,0,0,3.3333333333333335,6,0
76,1,0,0,0,3.6666666666666665,18,0
77,1,0,0,0,2.25,4,0
78,0,0,0,0,4.166666666666667,6,0
79,0,0,0,0,3.814814814814815,27,0
80,-1,0,1,0,2.4444444444444446,9,0
81,0,0,0,0,4.833333333333333,12,0
82,1,0,0,0,2.9375,17,0
83,1,0,1,0,3.8666666666666667,15,0
84,0,0,0,0,3.303030303030303,33,0
85,0,0,0,0,5.3125,16,0
86,0,0,1,0,3.6666666666666665,6,1
87,-1,0,0,0,4.0,4,0
88,0,0,1,0,5.0,9,0
89,1,0,0,0,4.2,25,0
90,0,0,0,0,3.5,4,1
91,0,0,0,0,4.0,5,0
92,0,0,5,1,4.037037037037037,27,0
93,0,0,0,1,4.125,16,1
94,1,0,3,0,3.739130434782609,23,1
95,-1,0,1,0,4.75,5,0
96,0,0,4,0,3.5,12,0
97,0,0,0,0,4.357142857142857,14,0
98,0,0,0,0,3.857142857142857,14,0
99,-1,0,1,1,3.6,10,0
100,1,0,2,1,4.0,26,0
101,0,0,0,1,5.6,5,0
102,1,0,0,1,3.25,4,0
103,1,0,1,0,3.3333333333333335,3,1
104,1,0,0,0,7.0,1,1
105,0,0,0,2,3.8333333333333335,12,0
106,1,0,1,0,3.6923076923076925,13,0
107,-1,0,0,0,5.0,3,0
108,0,0,3,0,3.611111111111111,18,1
109,-1,0,1,1,4.4,12,0
110,0,0,1,0,4.142857142857143,7,0
111,-1,0,0,0,4.416666666666667,12,0
112,0,0,1,1,5.0,17,0
113,0,0,0,0,3.111111111111111,9,1
114,0,0,0,0,5.333333333333333,4,1
115,0,0,1,1,4.5,14,1
116,-1,0,1,1,3.4285714285714284,28,0
117,1,0,4,0,3.5714285714285716,14,1
118,1,0,1,0,4.684210526315789,21,1
119,0,0,0,0,3.0,4,0
120,0,0,2,0,3.3333333333333335,3,0
121,0,0,0,0,10.857142857142858,7,0
122,0,0,0,0,4.0,21,0
123,0,0,1,0,4.076923076923077,26,0
124,0,0,0,0,3.7142857142857144,7,0
125,0,0,2,0,4.0,18,0
126,-1,0,3,1,3.5555555555555554,19,0
127,-1,0,0,0,5.333333333333333,6,0
128,0,0,2,1,4.0,3,1
129,-2,0,2,0,3.8846153846153846,27,1
130,-1,0,0,0,3.761904761904762,22,0
131,0,0,0,0,4.5,8,0
132,-2,0,0,0,6.5,4,0
133,0,0,0,0,3.909090909090909,11,0
134,0,0,0,0,7.333333333333333,3,1
135,1,0,1,1,4.888888888888889,9,0
136,3,0,5,0,4.833333333333333,12,0
137,0,0,0,0,8.0,1,0
138,1,0,1,0,3.6666666666666665,9,1
139,1,0,0,0,4.666666666666667,3,1
140,0,0,0,0,6.333333333333333,3,0
141,0,0,0,0,5.125,19,0
142,-3,0,1,0,4.230769230769231,13,0
143,-1,0,1,0,4.384615384615385,13,0
144,0,0,2,0,4.133333333333334,15,1
145,-1,0,1,0,4.333333333333333,9,0
146,0,0,0,0,5.2631578947368425,22,1
147,0,0,0,0,5.3,11,1
148,0,0,0,0,3.8620689655172415,29,0
149,-1,0,0,0,4.666666666666667,9,0
150,-1,0,0,0,4.277777777777778,19,0
151,-2,0,0,0,6.5,2,0
152,0,0,0,0,6.6,11,0
153,0,0,0,0,14.0,1,0
154,-2,0,2,0,3.909090909090909,23,0
155,0,0,1,0,4.65,21,1
156,3,0,0,0,4.714285714285714,25,1
157,0,0,0,0,3.590909090909091,26,0
158,1,0,0,0,5.0,16,1
159,-1,0,0,0,4.1,15,1
160,0,0,2,0,3.4,7,0
161,1,0,0,0,4.0,17,0
162,0,0,2,0,5.117647058823529,18,0
163,0,0,0,0,4.5,5,0
164,-1,0,2,0,3.1666666666666665,7,0
165,-1,0,1,0,4.8,11,0
166,2,0,1,0,3.4,6,1
167,0,0,0,0,4.333333333333333,6,0
168,0,0,1,1,4.05,20,0
169,-1,0,1,0,3.8,6,0
170,2,0,0,0,4.2,5,0
171,0,0,0,1,4.285714285714286,10,1
172,1,0,0,0,3.090909090909091,12,0
173,0,0,2,0,3.2,6,0
174,0,0,3,0,3.7857142857142856,14,1
175,0,0,0,0,8.333333333333334,4,1
176,0,0,0,0,5.714285714285714,22,1
177,3,0,1,0,4.521739130434782,24,1
178,-1,0,0,0,3.4,7,0
179,0,0,0,0,14.0,4,1
180,1,0,0,0,4.0,3,1
181,0,0,1,0,3.5238095238095237,21,1
182,1,0,0,0,4.166666666666667,20,1
183,3,0,0,0,4.333333333333333,18,1
184,0,0,1,0,4.5,12,0
185,1,0,0,0,6.666666666666667,6,0
186,0,0,0,1,3.533333333333333,16,1
187,0,0,0,0,2.6,5,1
188,-1,0,0,0,3.375,8,1
189,0,0,0,0,4.5,15,1
190,3,0,0,1,5.266666666666667,16,1
191,1,0,0,0,4.052631578947368,20,1
192,1,0,1,0,3.1818181818181817,12,1
193,0,0,1,0,5.166666666666667,6,1
194,1,0,2,0,3.6,5,1
195,1,0,0,1,3.5454545454545454,23,0
196,0,0,0,0,3.5714285714285716,7,1
197,0,0,0,0,4.666666666666667,7,0
198,-2,0,1,0,4.380952380952381,23,0
199,0,0,0,0,3.8095238095238093,21,0
200,0,0,0,0,4.090909090909091,13,0
201,0,0,0,0,4.181818181818182,24,0
202,0,0,0,0,4.0,8,0
203,-1,0,0,0,3.0,8,0
204,-3,0,0,0,4.45,21,1
205,4,0,1,0,4.333333333333333,20,1
206,0,0,0,2,3.0,9,0
207,0,0,1,0,4.5,6,1
208,0,0,0,0,3.5,8,1
209,1,0,0,0,7.0,1,1
210,1,0,0,1,3.727272727272727,11,1
211,-1,0,2,1,4.7727272727272725,23,1
212,1,0,0,0,4.545454545454546,23,1
213,1,0,1,0,4.75,16,0
214,0,0,0,0,3.6,6,0
215,0,0,0,0,3.25,7,1
216,0,0,2,0,5.428571428571429,8,1
217,-1,0,0,0,3.0,11,0
218,0,0,0,0,6.0,3,1
219,0,0,0,1,4.052631578947368,19,1
220,0,0,0,0,4.083333333333333,24,0
221,1,0,2,1,3.875,9,0
222,1,0,1,0,3.6153846153846154,13,1
223,-1,0,0,0,4.136363636363637,24,0
224,0,0,1,0,3.5714285714285716,7,0
225,-1,0,0,0,4.333333333333333,3,0
226,1,0,0,0,3.6470588235294117,18,1
227,0,0,0,0,0.0,0,1
228,1,0,0,0,5.545454545454546,12,1
229,1,0,1,0,3.5833333333333335,12,1
230,0,0,0,0,0.0,0,1
231,0,0,0,0,3.9166666666666665,13,1
232,-1,0,2,0,3.4285714285714284,21,1
233,0,0,0,0,4.533333333333333,16,1
234,0,0,0,0,3.8,5,0
235,0,0,0,0,0.0,0,0
236,1,0,5,0,3.6666666666666665,16,1
237,1,0,1,0,5.0,3,1
238,0,0,2,0,4.090909090909091,13,1
239,-1,0,1,0,3.5,6,0
240,0,0,0,0,6.0,4,0
241,0,0,0,0,3.75,4,0
242,-1,0,1,0,3.5,2,0
243,1,0,0,0,3.857142857142857,7,0
244,-2,0,0,0,4.25,4,0
245,-1,0,0,0,4.0,10,0
246,0,0,2,0,3.5,18,0
247,-1,0,0,0,4.1,12,0
248,1,0,0,0,2.6666666666666665,3,1
249,0,0,0,0,3.0,3,0
250,0,0,1,1,4.363636363636363,11,0
251,0,0,0,0,2.5,2,0
252,-2,0,1,0,4.333333333333333,3,0
253,-1,0,2,1,4.375,16,0
254,0,0,0,0,0.0,0,0
255,1,0,1,0,3.2142857142857144,14,0
256,0,0,0,0,3.3333333333333335,3,0
257,0,0,0,0,3.875,8,1
258,0,0,1,2,4.25,11,0
259,0,0,0,0,4.588235294117647,17,1
260,-1,0,2,0,3.0,8,0
261,0,0,0,0,4.117647058823529,17,1
262,0,0,0,0,3.2,5,0
263,2,0,2,0,4.3076923076923075,13,0
264,1,0,0,0,3.64,25,0
265,1,0,0,0,3.9615384615384617,26,0
266,0,0,0,0,4.0,12,0
267,0,0,0,0,3.1666666666666665,6,0
268,0,0,1,1,4.166666666666667,6,0
269,-1,0,0,1,4.095238095238095,21,0
270,2,0,0,0,7.333333333333333,6,1
271,-1,0,0,0,3.3333333333333335,15,1
272,-1,0,0,0,3.769230769230769,26,1
273,0,0,1,1,3.4,15,0
274,0,0,1,0,3.5,4,0
275,-1,0,1,0,4.666666666666667,3,0
276,4,0,0,0,5.1,10,1
277,1,0,0,0,5.285714285714286,7,0
278,2,0,3,0,3.4,11,1
279,-1,0,1,0,4.3076923076923075,13,0
280,2,0,0,0,5.0,7,1
281,0,0,2,1,3.8666666666666667,15,1
282,0,0,0,0,3.0,6,0
283,0,0,1,1,4.238095238095238,21,0
284,-2,0,0,0,5.666666666666667,4,0
285,-1,0,0,0,9.0,1,0
286,-1,0,0,0,5.25,8,0
287,0,0,3,0,3.6,6,1
288,0,0,0,0,3.8333333333333335,6,0
289,1,0,0,0,2.625,8,1
290,0,0,0,0,3.206896551724138,29,0
291,-1,0,0,0,3.5,4,0
292,0,0,0,0,7.0,1,0
293,1,0,0,0,4.333333333333333,8,0
294,1,0,1,0,3.3333333333333335,6,0
295,1,0,1,0,3.0,10,1
296,2,0,1,0,4.333333333333333,6,1
297,1,0,0,0,2.75,8,1
298,0,0,2,0,5.5,2,1
299,-1,0,0,0,5.5,2,0
300,1,0,0,1,3.75,4,0
301,-1,0,0,0,4.6,5,0
302,-1,0,0,0,4.4,5,0
303,1,0,0,1,4.6,17,0
304,1,0,3,0,2.75,4,1
305,1,0,2,0,3.4,5,1
306,0,0,0,0,4.0,1,0
307,0,0,0,0,12.0,1,0
308,0,0,0,0,2.0,24,1
309,1,0,1,0,3.2142857142857144,14,0
310,0,0,0,0,4.111111111111111,9,0
311,0,0,1,0,3.857142857142857,7,0
312,-2,0,1,0,3.1,10,0
313,1,0,0,1,6.8125,16,0
314,0,0,0,1,3.7,10,0
315,0,0,0,0,4.833333333333333,13,0
316,0,0,0,0,3.5,6,0
317,0,0,0,0,3.5,4,0
318,-1,0,0,0,3.25,8,0
319,-1,0,0,0,4.6,5,0
320,-1,0,1,0,3.8,10,0
321,0,0,0,0,4.0,1,0
322,-1,0,0,3,3.857142857142857,14,0
323,0,0,0,1,5.0,2,0
324,-1,0,1,0,3.7777777777777777,28,0
325,0,0,0,0,3.8,6,0
326,-1,0,0,0,4.833333333333333,12,0
327,0,0,0,0,3.0,8,1
328,0,0,0,0,3.875,9,0
329,4,0,1,0,4.7894736842105265,19,0
330,3,0,0,0,4.478260869565218,23,1
331,0,0,0,1,5.0,9,0
332,-1,0,0,0,4.2,11,0
333,0,0,1,0,3.4615384615384617,13,0
334,-1,0,0,0,3.9285714285714284,14,0
335,0,0,1,0,3.6153846153846154,13,0
336,1,0,1,0,4.5,14,1
337,1,0,0,0,5.142857142857143,7,0
338,1,0,1,0,4.190476190476191,21,0
339,-1,0,2,0,6.0,2,0
340,0,0,0,0,4.666666666666667,6,1
341,-2,0,1,0,4.117647058823529,17,0
342,-1,0,0,1,4.25,8,0
343,0,0,0,1,4.5,8,0
344,-1,0,1,0,3.4,10,0
345,-1,0,0,0,5.0,1,0
346,2,0,2,0,4.666666666666667,6,1
347,0,0,0,0,3.2,6,0
348,0,0,0,0,4.333333333333333,3,0
349,0,0,2,0,4.0,2,0
350,0,0,0,0,4.714285714285714,7,0
351,-1,0,0,0,6.222222222222222,9,0
352,-1,0,0,1,3.9375,16,0
353,-2,0,1,1,4.066666666666666,15,0
354,1,0,0,2,4.434782608695652,23,0
355,0,0,0,0,3.0,4,0
356,-1,0,0,0,3.6,5,0
357,0,0,0,0,4.2,13,0
358,1,0,4,0,4.555555555555555,10,1
359,0,0,0,0,3.25,4,1
360,3,0,4,0,4.071428571428571,14,1
361,-1,0,1,0,3.2,5,0
362,-1,0,0,0,3.0,2,0
363,0,0,0,0,4.2,11,0
364,0,0,0,0,3.7777777777777777,9,0
365,0,0,9,0,4.095238095238095,21,0
366,-2,0,1,0,4.071428571428571,17,0
367,0,0,0,0,3.9,10,0
368,-3,0,0,0,3.0,3,0
369,0,0,0,0,4.0,2,0
370,0,0,0,0,9.0,1,0
371,-1,0,1,1,4.333333333333333,12,0
372,1,0,2,0,3.857142857142857,7,1
373,1,0,1,0,3.75,16,0
374,1,0,0,0,3.736842105263158,19,0
375,-1,0,0,0,3.75,4,0
376,0,0,0,0,4.333333333333333,6,1
377,-1,0,0,0,3.0,3,0
378,0,0,0,0,4.0,6,0
379,0,0,0,0,2.8,10,1
380,0,0,0,0,4.666666666666667,19,1
381,0,0,0,0,6.666666666666667,3,1
382,-1,0,2,0,3.857142857142857,8,1
383,0,0,0,1,5.0,4,0
384,0,0,0,0,5.571428571428571,7,1
385,-1,0,0,0,5.235294117647059,17,0
386,0,0,0,0,3.0,4,1
387,1,0,0,0,5.571428571428571,18,1
388,0,0,0,0,3.3333333333333335,10,1
389,2,0,0,0,4.333333333333333,6,1
390,1,0,1,0,6.0,11,1
391,3,0,1,1,4.65,20,0
392,-1,0,0,0,4.666666666666667,3,0
393,0,0,1,0,4.608695652173913,23,0
394,0,0,0,0,4.4,10,1
395,0,0,1,0,3.730769230769231,27,0
396,0,0,0,0,4.705882352941177,17,1
397,0,0,0,0,4.2,10,0
398,0,0,0,0,5.857142857142857,9,1
399,0,0,0,1,3.6666666666666665,9,1
400,-1,0,0,0,3.6666666666666665,12,0
401,-1,0,0,0,4.04,25,0
402,-1,0,0,0,4.5,23,1
403,1,0,0,0,4.75,8,0
404,0,0,1,0,5.615384615384615,15,1
405,0,0,1,0,3.1875,16,0
406,0,0,0,1,4.380952380952381,21,0
407,-1,0,0,0,3.8421052631578947,19,0
408,1,0,1,0,5.5,4,1
409,-1,0,0,0,3.6666666666666665,13,0
410,0,0,0,0,4.0,5,1
411,-3,0,0,1,4.0,26,0
412,-1,0,0,0,3.857142857142857,7,1
413,-1,0,0,0,4.083333333333333,12,0
414,0,0,0,0,13.5,2,1
415,0,0,3,0,5.75,4,0
416,0,0,1,0,3.8,10,0
417,-1,0,0,0,4.2,10,1
418,-1,0,0,0,3.5,12,0
419,0,0,3,0,6.2,10,0
420,1,0,0,0,3.6666666666666665,7,1
421,-1,0,4,0,4.2,10,1
422,0,0,0,0,4.666666666666667,3,0
423,0,0,0,0,4.8,10,0
424,0,0,1,0,2.0,3,0
425,-1,0,0,0,8.0,2,0
426,0,0,0,0,5.0,11,0
427,1,0,1,0,3.5,12,1
428,0,0,1,0,3.0,8,1
429,-2,0,0,0,5.2,5,0
430,0,0,0,0,3.8,5,1
431,1,0,0,0,4.411764705882353,17,1
432,0,0,0,0,4.65,21,1
433,1,0,0,0,3.4,5,0
434,0,0,3,0,4.533333333333333,15,0
435,0,0,1,0,3.5833333333333335,12,0
436,0,0,1,0,3.586206896551724,29,0
437,-1,0,0,0,4.214285714285714,15,0
438,-1,0,0,0,3.8333333333333335,6,0
439,-2,0,0,0,4.0,10,0
440,0,0,2,0,4.5,12,0
441,0,0,0,0,3.75,5,0
442,1,0,1,0,5.875,8,0
443,1,0,1,0,3.65,22,1
444,0,0,0,0,3.75,4,0
445,0,0,0,0,3.5,12,0
446,1,0,0,0,3.5555555555555554,9,1
447,0,0,0,0,4.888888888888889,9,0
448,-2,0,0,0,4.25,20,0
449,1,0,0,0,4.8,6,1
450,1,0,0,1,3.8,10,0
451,-1,0,0,1,4.368421052631579,20,0
452,1,0,1,0,4.0,3,1
453,0,0,0,0,4.166666666666667,12,0
454,-2,0,1,0,4.066666666666666,17,0
455,-1,0,0,0,3.6,5,0
456,-3,0,0,1,3.391304347826087,24,0
457,0,0,0,1,3.789473684210526,20,0
458,-1,0,0,1,5.545454545454546,11,0
459,0,0,1,0,4.375,24,0
460,1,0,0,0,4.2,15,0
461,-1,0,1,0,2.9375,17,1
462,0,0,0,0,3.6666666666666665,4,1
463,1,0,0,1,4.5,12,0
464,-1,0,2,1,4.0,10,0
465,-1,0,0,2,4.133333333333334,15,0
466,-1,0,0,0,3.3684210526315788,19,0
467,1,0,2,1,4.166666666666667,6,1
468,1,0,0,0,4.0,9,1
469,2,0,0,0,5.684210526315789,19,0
470,0,0,1,0,3.8947368421052633,19,0
471,0,0,0,1,3.0,4,0
472,0,0,0,1,4.230769230769231,13,0
473,0,0,0,0,2.7222222222222223,18,0
474,-1,0,1,0,3.75,23,0
475,-1,0,1,1,4.642857142857143,14,0
476,0,0,0,0,4.25,4,1
477,-3,0,1,0,3.652173913043478,23,0
478,1,0,0,0,4.666666666666667,6,0
479,0,0,0,0,4.25,4,0
480,0,0,1,0,5.25,12,0
481,3,0,0,0,4.043478260869565,25,1
482,1,0,0,0,4.5,2,1
483,1,0,2,0,4.25,4,1
484,-1,0,0,0,3.2,5,1
485,0,0,4,1,3.7083333333333335,24,0
486,-2,0,0,0,3.8636363636363638,22,0
487,-1,0,0,1,3.9375,18,1
488,-1,0,0,0,3.4444444444444446,9,0
489,-2,0,1,0,3.7037037037037037,28,0
490,1,0,2,0,3.8666666666666667,15,0
491,0,0,0,0,23.333333333333332,3,1
492,0,0,0,0,4.333333333333333,3,0
493,0,0,0,0,5.0,3,0
494,0,0,0,0,4.166666666666667,12,0
495,0,0,0,0,4.666666666666667,6,1
496,1,0,0,0,5.2,5,0
497,1,0,0,0,3.619047619047619,21,0
498,0,0,1,0,3.9565217391304346,24,1
499,0,0,0,0,9.0,2,0
500,-1,0,0,0,5.5,4,0
501,-1,0,0,0,5.0,12,0
502,0,0,1,0,3.6666666666666665,6,0
503,-1,0,0,0,5.0,7,0
504,0,0,4,0,4.333333333333333,18,0
505,0,0,0,0,4.5,8,0
506,2,0,0,0,5.529411764705882,17,0
507,1,0,0,0,5.0,4,0
508,-2,0,0,0,3.9,13,0
509,-2,0,0,0,6.25,4,0
510,0,0,0,0,3.8,5,0
511,0,0,0,0,4.166666666666667,6,0
512,2,0,3,0,3.857142857142857,7,1
513,0,0,0,0,9.0,1,0
514,1,0,2,0,5.25,8,0
515,-1,0,5,2,3.75,21,0
516,0,0,0,0,3.75,4,1
517,1,0,2,0,2.25,5,1
518,0,0,1,0,2.75,4,1
519,0,0,0,0,7.363636363636363,11,0
520,-2,0,0,0,4.333333333333333,9,0
521,-3,0,0,0,5.928571428571429,15,0
522,-2,0,0,0,3.5,8,0
523,0,0,0,0,4.0,8,0
524,1,0,1,0,3.6,5,0
525,1,0,2,1,2.8333333333333335,7,1
526,-1,0,0,0,3.4,5,0
527,0,0,0,0,3.6666666666666665,3,1
528,-1,0,0,0,4.0,2,0
529,0,0,3,0,3.6818181818181817,22,1
530,-1,0,0,0,11.0,6,0
531,1,0,0,0,4.0,4,0
532,-1,0,1,0,4.333333333333333,4,0
533,0,0,1,0,4.0,7,1
534,0,0,0,0,4.333333333333333,3,0
535,0,0,1,0,3.9166666666666665,15,0
536,1,0,0,1,4.523809523809524,21,0
537,0,0,0,1,7.0,1,0
538,2,0,3,0,4.590909090909091,23,0
539,1,0,0,0,3.888888888888889,9,1
540,-1,0,0,0,5.8,12,0
541,0,0,0,0,5.0,2,0
542,-2,0,2,0,5.111111111111111,18,0
543,0,0,0,0,3.92,25,0
544,2,0,0,1,4.6,22,0
545,0,0,2,0,4.214285714285714,14,0
546,0,0,0,1,3.9,10,0
547,1,0,0,0,4.0,21,1
548,0,0,0,1,4.222222222222222,9,0
549,1,0,1,0,3.888888888888889,9,0
550,-2,0,4,0,3.6818181818181817,24,1
551,0,0,0,0,3.8181818181818183,11,0
552,-1,0,1,0,3.8333333333333335,18,0
553,1,0,0,0,5.333333333333333,9,1
554,-1,0,1,0,3.5,2,0
555,1,0,1,0,3.5,6,0
556,1,0,0,0,4.0,2,1
557,1,0,1,0,4.125,16,0
558,0,0,0,0,5.333333333333333,10,0
559,0,0,0,0,6.0,8,0
560,3,0,0,1,4.666666666666667,16,0
561,2,0,1,1,3.875,18,0
562,0,0,1,1,3.6315789473684212,19,0
563,-2,0,0,1,4.5,22,0
564,0,0,0,0,4.625,8,0
565,0,0,1,0,3.923076923076923,13,0
566,0,0,0,0,13.0,1,1
567,0,0,0,0,7.0,1,1
568,0,0,0,0,4.1,20,0
569,0,0,0,0,12.0,1,1
570,0,0,0,0,9.0,12,0
571,0,0,0,0,15.0,8,1
572,0,0,0,1,4.875,8,0
573,0,0,0,0,7.0,1,0
574,0,0,0,0,3.0,9,1
575,0,0,0,0,3.1538461538461537,13,1
576,0,0,0,0,6.8,5,1
577,0,0,0,0,7.0,6,0
578,-1,0,0,0,5.25,21,1
579,1,0,1,0,3.5833333333333335,12,1
580,0,0,0,0,7.4,5,0
581,-2,0,0,0,4.9,20,1
582,0,0,0,0,4.428571428571429,7,0
583,-1,0,0,0,3.9615384615384617,26,0
584,-1,0,0,0,4.1923076923076925,26,0
585,0,0,0,0,2.6666666666666665,4,0
586,-2,0,0,0,4.416666666666667,12,0
587,0,0,0,0,3.2,5,1
588,-1,0,0,0,4.142857142857143,24,0
589,0,0,0,0,3.6666666666666665,3,0
590,0,0,1,1,4.2,27,1
591,1,0,0,0,4.9375,16,1
592,0,0,0,1,4.44,25,1
593,0,0,2,0,3.3333333333333335,5,0
594,1,0,0,0,3.642857142857143,14,0
595,-1,0,0,0,4.294117647058823,17,0
596,0,0,0,0,3.3333333333333335,9,0
597,-1,0,0,0,4.842105263157895,19,1
598,1,0,0,0,7.0,1,0
599,1,0,0,0,6.0,4,1
600,1,0,0,0,5.833333333333333,6,1
601,0,0,0,0,3.6,5,0
602,0,0,0,1,5.142857142857143,7,0
603,1,0,0,0,3.7142857142857144,14,0
604,-1,0,2,0,3.142857142857143,28,0
605,-1,0,0,0,4.0,6,0
606,0,0,1,1,4.416666666666667,24,0
607,0,0,0,0,4.545454545454546,11,1
608,4,0,0,1,3.789473684210526,19,1
609,0,0,0,1,4.4,7,0
610,-1,0,0,0,4.0,3,0
611,0,0,0,0,4.0,3,1
612,-2,0,0,0,4.75,8,0
613,-1,0,0,0,3.6,5,0
614,-2,0,0,1,3.92,25,0
615,0,0,1,0,4.416666666666667,12,1
616,-1,0,0,1,4.8,6,0
617,0,0,0,0,3.625,8,1
618,0,0,0,0,8.0,1,1
619,0,0,1,0,3.857142857142857,7,0
620,-1,0,2,0,3.7333333333333334,19,0
621,0,0,0,0,3.5,2,0
622,1,0,0,0,4.25,9,0
623,1,0,0,1,4.1,11,1
624,-1,0,0,0,4.444444444444445,9,0
625,2,0,0,0,4.777777777777778,9,0
626,1,0,1,0,5.05,23,0
627,2,0,0,1,4.173913043478261,23,0
628,1,0,0,0,3.0,4,1
629,1,0,0,0,4.444444444444445,9,1
630,0,0,0,0,3.9,10,0
631,0,0,1,0,4.25,4,1
632,1,0,0,2,3.375,16,0
633,0,0,2,0,5.0,7,1
634,1,0,1,1,4.5,14,1
635,4,0,2,0,3.7037037037037037,27,0
636,0,0,2,0,8.0,2,1
637,0,0,0,0,4.222222222222222,10,0
638,0,0,0,0,3.6666666666666665,3,1
639,0,0,0,0,4.0,1,0
640,0,0,0,0,3.4444444444444446,9,0
641,1,0,0,0,4.6,5,0
642,1,0,0,0,4.0,21,0
643,0,0,0,0,3.6363636363636362,11,0
644,1,0,0,0,4.0,8,1
645,0,0,0,0,3.5,4,0
646,0,0,0,0,2.5,2,0
647,0,0,2,0,2.3333333333333335,3,1
648,1,0,2,1,3.8095238095238093,22,1
649,1,0,1,0,4.0,14,1
650,0,0,0,0,10.0,11,1
651,0,0,0,0,9.3,10,0
652,0,0,1,0,15.0,1,1
653,1,0,0,0,6.666666666666667,3,1
654,-2,0,0,0,4.375,26,0
655,-1,0,0,0,5.2,19,0
656,-1,0,0,0,4.0,16,0
657,-1,0,0,0,7.7,14,0
658,1,0,0,0,5.181818181818182,14,1
659,0,0,0,0,5.071428571428571,17,1
660,0,0,1,0,4.916666666666667,24,1
661,0,0,0,0,5.0,10,1
662,-1,0,0,0,7.428571428571429,9,1
